SIGLA;CODIGO;DECODE(A.DIA_N,2,'seg',3,'ter',4,'qua',5,'qui',6,'sex');HORA_INICIO;DURACAO;TIPO_AULA
COMP_1251;L.EIC001;seg;11,5;1,5;T
COMP_1251;L.EIC001;seg;11,5;1,5;T
COMP_1251;L.EIC001;seg;11,5;1,5;T
COMP_1541;L.EIC001;seg;9,5;1,5;T
COMP_1541;L.EIC001;seg;9,5;1,5;T
COMP_1541;L.EIC001;seg;9,5;1,5;T
1LEIC09;L.EIC001;ter;8,5;1,5;TP
1LEIC09;L.EIC001;ter;8,5;1,5;TP
1LEIC09;L.EIC001;ter;8,5;1,5;TP
1LEIC05;L.EIC001;sex;9;1,5;TP
1LEIC05;L.EIC001;sex;9;1,5;TP
1LEIC05;L.EIC001;sex;9;1,5;TP
COMP_628;L.EIC001;qua;10,5;1,5;TP
COMP_628;L.EIC001;qua;10,5;1,5;TP
COMP_628;L.EIC001;qua;10,5;1,5;TP
COMP_901;L.EIC001;sex;10,5;1,5;TP
COMP_901;L.EIC001;sex;10,5;1,5;TP
COMP_901;L.EIC001;sex;10,5;1,5;TP
1LEIC08;L.EIC001;ter;11;1,5;TP
1LEIC08;L.EIC001;ter;11;1,5;TP
1LEIC08;L.EIC001;ter;11;1,5;TP
COMP_1615;L.EIC001;ter;9,5;1,5;TP
COMP_1615;L.EIC001;ter;9,5;1,5;TP
COMP_1615;L.EIC001;ter;9,5;1,5;TP
1LEIC01;L.EIC001;ter;14,5;1,5;TP
1LEIC01;L.EIC001;ter;14,5;1,5;TP
1LEIC01;L.EIC001;ter;14,5;1,5;TP
1LEIC06;L.EIC001;ter;8;1,5;TP
1LEIC06;L.EIC001;ter;8;1,5;TP
1LEIC06;L.EIC001;ter;8;1,5;TP
1LEIC07;L.EIC001;qua;10;1,5;TP
1LEIC07;L.EIC001;qua;10;1,5;TP
1LEIC07;L.EIC001;qua;10;1,5;TP
1LEIC03;L.EIC001;qua;11,5;1,5;TP
1LEIC03;L.EIC001;qua;11,5;1,5;TP
1LEIC03;L.EIC001;qua;11,5;1,5;TP
1LEIC02;L.EIC001;sex;9;1,5;TP
1LEIC02;L.EIC001;sex;9;1,5;TP
1LEIC02;L.EIC001;sex;9;1,5;TP
1LEIC04;L.EIC001;sex;11;1,5;TP
1LEIC04;L.EIC001;sex;11;1,5;TP
1LEIC04;L.EIC001;sex;11;1,5;TP
COMP_1251;L.EIC002;qui;11,5;2;T
COMP_1251;L.EIC002;qui;11,5;2;T
COMP_1251;L.EIC002;qui;11,5;2;T
COMP_1541;L.EIC002;qui;9;2;T
COMP_1541;L.EIC002;qui;9;2;T
COMP_1541;L.EIC002;qui;9;2;T
1LEIC10;L.EIC002;qua;11;2;TP
1LEIC10;L.EIC002;qua;11;2;TP
1LEIC10;L.EIC002;qua;11;2;TP
1LEIC09;L.EIC002;ter;10,5;2;TP
1LEIC09;L.EIC002;ter;10,5;2;TP
