CODIGO;SIGLA;CAPACIDADE;N_ALU_INSC
L.EIC001;1LEIC01;32;24
L.EIC001;1LEIC02;32;28
L.EIC001;1LEIC03;32;27
L.EIC001;1LEIC04;32;23
L.EIC001;1LEIC05;32;27
L.EIC001;1LEIC06;32;27
L.EIC001;1LEIC07;32;27
L.EIC001;1LEIC08;32;24
L.EIC001;1LEIC09;32;27
L.EIC001;1LEIC10;32;29
L.EIC001;1LEIC12;32;27
L.EIC001;1LEIC14;32;24
L.EIC002;1LEIC01;28;25
L.EIC002;1LEIC02;28;24
L.EIC002;1LEIC03;28;22
L.EIC002;1LEIC04;28;24
L.EIC002;1LEIC05;28;22
L.EIC002;1LEIC06;28;22
L.EIC002;1LEIC07;28;21
L.EIC002;1LEIC08;28;23
L.EIC002;1LEIC09;28;21
L.EIC002;1LEIC10;28;22
L.EIC002;1LEIC11;28;22
L.EIC002;1LEIC12;28;22
L.EIC002;1LEIC13;28;21
L.EIC002;1LEIC14;28;23
L.EIC003;1LEIC01;28;24
L.EIC003;1LEIC02;28;24
L.EIC003;1LEIC03;28;22
L.EIC003;1LEIC04;28;24
L.EIC003;1LEIC05;28;22
L.EIC003;1LEIC06;28;23
L.EIC003;1LEIC07;28;21
L.EIC003;1LEIC08;28;24
L.EIC003;1LEIC09;28;21
L.EIC003;1LEIC10;28;23
L.EIC003;1LEIC11;28;21
L.EIC003;1LEIC12;28;22
L.EIC003;1LEIC13;28;21
L.EIC003;1LEIC14;28;23
L.EIC003;1LEIC15;28;1
L.EIC004;1LEIC01;28;24
L.EIC004;1LEIC02;28;24
L.EIC004;1LEIC03;28;22
L.EIC004;1LEIC04;28;24
L.EIC004;1LEIC05;28;22
L.EIC004;1LEIC06;28;22
L.EIC004;1LEIC07;28;22
L.EIC004;1LEIC08;28;24
L.EIC004;1LEIC09;28;21
L.EIC004;1LEIC10;28;22
L.EIC004;1LEIC11;28;22
L.EIC004;1LEIC12;28;22
L.EIC004;1LEIC13;28;21
L.EIC004;1LEIC14;28;24
