ESTUD_NUM_UNICO_INST;CODIGO;SIGLA
199901596;L.EIC021;3LEIC04
199901596;L.EIC024;3LEIC05
200000316;L.EIC001;1LEIC09
200000316;L.EIC002;1LEIC09
200000316;L.EIC003;1LEIC09
200000316;L.EIC004;1LEIC09
200000316;L.EIC005;1LEIC09
200000668;L.EIC010;2LEIC08
200000668;L.EIC011;2LEIC08
200000668;L.EIC012;2LEIC08
200000668;L.EIC013;2LEIC08
200000668;L.EIC014;2LEIC08
200705464;L.EIC021;1MEIC03
200705464;M.EIC001;1MEIC03
200706695;L.EIC003;1LEIC09
200800621;L.EIC012;2LEIC03
200800621;L.EIC021;3LEIC08
200800621;L.EIC023;3LEIC08
200800621;L.EIC024;3LEIC04
200801677;L.EIC012;2LEIC02
200801677;L.EIC013;2LEIC02
200801677;L.EIC014;2LEIC02
200807826;L.EIC003;1LEIC15
200807826;L.EIC004;1LEIC10
200904191;L.EIC001;1LEIC04
200904191;L.EIC002;1LEIC08
200904191;L.EIC013;2LEIC06
200904191;L.EIC022;3LEIC10
200904191;L.EIC023;3LEIC10
200904191;L.EIC025;3LEIC04
201005231;L.EIC003;1LEIC15
201005231;L.EIC010;2LEIC08
201005231;L.EIC012;2LEIC04
201104354;L.EIC021;3LEIC10
201104354;L.EIC024;3LEIC03
201104354;M.EIC001;1MEIC03
201104354;M.EIC002;1MEIC04
201104354;M.EIC003;1MEIC01
201104354;M.EIC004;1MEIC01
201105191;L.EIC010;2LEIC07
201105191;L.EIC011;2LEIC09
201105191;L.EIC012;2LEIC09
201105191;L.EIC013;2LEIC13
201105191;L.EIC014;2LEIC12
201107323;L.EIC001;1LEIC05
201107323;L.EIC002;1LEIC05
201107323;L.EIC003;1LEIC05
201107323;L.EIC004;1LEIC05
201107323;L.EIC005;1LEIC05
201107963;L.EIC021;3LEIC02
201107963;L.EIC024;3LEIC01
201203894;L.EIC001;1LEIC01
201203894;L.EIC002;1LEIC01
201203894;L.EIC003;1LEIC01
201203894;L.EIC004;1LEIC01
201203894;L.EIC005;1LEIC01
201206080;L.EIC013;2LEIC10
201207603;L.EIC024;3LEIC02
201207603;M.EIC002;1MEIC01
201207603;M.EIC007;2MEIC01
201207603;M.EIC039;2MEIC01
201207603;M.EIC046;2MEIC01
201303544;L.EIC023;3LEIC06
201303693;L.EIC010;2LEIC08
201303693;L.EIC011;2LEIC08
201303693;L.EIC012;2LEIC08
201303693;L.EIC013;2LEIC08
201303693;L.EIC014;2LEIC08
201306340;L.EIC002;1LEIC06
201306340;L.EIC014;2LEIC07
201306340;L.EIC021;3LEIC05
201306340;L.EIC023;3LEIC03
201306340;L.EIC025;3LEIC01
201307718;L.EIC009;2LEIC01
201307718;L.EIC021;3LEIC03
201307718;L.EIC023;3LEIC05
201402718;L.EIC011;2LEIC05
201402718;L.EIC014;2LEIC05
201402718;L.EIC021;3LEIC02
201402718;L.EIC023;3LEIC04
